"HDFC","ICICI"
"1,574.80","622.35"
"1,560.55","617.35"
"1,476.75","603.8"
"1,390.50","537"
"1,371.45","528.25"
"1,409.60","522.35"
"1,462.85","538.05"
"1,443.55","533.8"
"1,474.80","552.7"
"1,492.00","551"
"1,503.85","546.45"
"1,483.10","533.15"
"1,466.65","543"
"1,468.75","553.3"
"1,470.65","556.5"
"1,481.00","548"
"1,451.45","544.7"
"1,431.65","542.05"
"1,416.25","541.1"
"1,420.55","546.7"
"1,426.70","537.25"
"1,416.00","531.7"
"1,425.05","527.5"
"1,436.30","535.05"
"1,432.50","528.75"
"1,427.20","528.8"
"1,412.85","520.1"
"1,397.10","513.55"
"1,375.65","503.6"
"1,373.10","500.3"
"1,372.65","494.5"
"1,411.35","517.15"
"1,441.80","510.4"
"1,410.70","512.45"
"1,391.30","518.05"
"1,372.15","525.8"
"1,382.80","515.45"
"1,385.85","506.95"
"1,407.20","511.5"
"1,376.30","508.4"
"1,372.25","510.45"
"1,385.60","502.05"
"1,377.20","481.85"
"1,406.95","480.45"
"1,433.30","485.1"
"1,440.85","473.35"
"1,426.65","475.3"
"1,402.80","472.7"
"1,438.20","478.2"
"1,394.60","468.25"
"1,403.65","480.2"
"1,374.35","478.75"
"1,408.70","497.65"
"1,408.45","486.4"
"1,369.70","486.9"
"1,358.80","485.55"
"1,371.70","476.7"
"1,389.95","486.55"
"1,393.65","483.85"
"1,340.55","462.7"
"1,307.65","442.8"
"1,269.20","438.5"
"1,257.40","437.05"
"1,247.95","443.85"
"1,215.25","417.45"
"1,183.55","392.6"
"1,187.20","399.9"
"1,209.60","396.05"
"1,233.10","409.95"
"1,210.90","404.45"
"1,235.80","416.95"
"1,233.30","412.9"
"1,246.70","420.3"
"1,223.95","414.6"
"1,203.55","417.1"
"1,199.35","396.1"
"1,169.25","391"
"1,211.50","406.8"
"1,198.45","396.25"
"1,213.65","404.05"
"1,233.55","401.5"
"1,191.80","387.5"
"1,162.25","382.65"
"1,144.10","380.6"
"1,114.35","373.1"
"1,106.95","369.2"
"1,078.60","354.75"
"1,062.55","357.05"
"1,054.20","363"
"1,044.00","348.65"
"1,030.40","335.7"
"1,047.25","351.85"
"1,035.40","354.4"
"1,049.30","350.7"
"1,057.30","369.55"
"1,083.60","369"
"1,093.65","374.7"
"1,070.50","371.55"
"1,057.95","363.7"
"1,078.65","370.5"
